2026-04-21 19:05:46,876 src.training.trainer INFO: Epoch 33/200 (61.2s) - train_loss: 3.3047, val_loss: 3.2186, R@1_a2c: 0.027, R@5_a2c: 0.169, temp: 0.0709
2026-04-21 19:06:54,621 src.training.trainer INFO: Epoch 34/200 (61.7s) - train_loss: 3.2592, val_loss: 3.1655, R@1_a2c: 0.054, R@5_a2c: 0.182, temp: 0.0710
2026-04-21 19:08:02,478 src.training.trainer INFO: Epoch 35/200 (61.8s) - train_loss: 3.2502, val_loss: 3.1788, R@1_a2c: 0.054, R@5_a2c: 0.149, temp: 0.0710
2026-04-21 19:09:06,338 src.training.trainer INFO: Epoch 36/200 (60.9s) - train_loss: 3.2223, val_loss: 3.1730, R@1_a2c: 0.034, R@5_a2c: 0.223, temp: 0.0710
2026-04-21 19:10:10,720 src.training.trainer INFO: Epoch 37/200 (61.3s) - train_loss: 3.2220, val_loss: 3.1324, R@1_a2c: 0.047, R@5_a2c: 0.216, temp: 0.0710
2026-04-21 19:11:18,308 src.training.trainer INFO: Epoch 38/200 (61.5s) - train_loss: 3.2027, val_loss: 3.1650, R@1_a2c: 0.034, R@5_a2c: 0.162, temp: 0.0710
2026-04-21 19:12:22,851 src.training.trainer INFO: Epoch 39/200 (61.4s) - train_loss: 3.2158, val_loss: 3.1014, R@1_a2c: 0.068, R@5_a2c: 0.230, temp: 0.0711
2026-04-21 19:13:29,734 src.training.trainer INFO: Epoch 40/200 (61.0s) - train_loss: 3.1926, val_loss: 3.1242, R@1_a2c: 0.041, R@5_a2c: 0.196, temp: 0.0711
2026-04-21 19:14:34,278 src.training.trainer INFO: Epoch 41/200 (61.6s) - train_loss: 3.1645, val_loss: 3.0940, R@1_a2c: 0.020, R@5_a2c: 0.189, temp: 0.0711
2026-04-21 19:15:41,631 src.training.trainer INFO: Epoch 42/200 (61.2s) - train_loss: 3.1793, val_loss: 3.1219, R@1_a2c: 0.034, R@5_a2c: 0.182, temp: 0.0711
2026-04-21 19:16:45,995 src.training.trainer INFO: Epoch 43/200 (61.4s) - train_loss: 3.1513, val_loss: 3.0716, R@1_a2c: 0.068, R@5_a2c: 0.250, temp: 0.0711
2026-04-21 19:17:53,980 src.training.trainer INFO: Epoch 44/200 (61.9s) - train_loss: 3.1551, val_loss: 3.0854, R@1_a2c: 0.054, R@5_a2c: 0.264, temp: 0.0711
2026-04-21 19:18:58,235 src.training.trainer INFO: Epoch 45/200 (61.3s) - train_loss: 3.1516, val_loss: 3.0512, R@1_a2c: 0.068, R@5_a2c: 0.250, temp: 0.0712
2026-04-21 19:20:05,431 src.training.trainer INFO: Epoch 46/200 (61.2s) - train_loss: 3.1342, val_loss: 3.0673, R@1_a2c: 0.054, R@5_a2c: 0.203, temp: 0.0712
2026-04-21 19:21:09,099 src.training.trainer INFO: Epoch 47/200 (60.7s) - train_loss: 3.1480, val_loss: 3.0774, R@1_a2c: 0.054, R@5_a2c: 0.264, temp: 0.0712
2026-04-21 19:22:13,184 src.training.trainer INFO: Epoch 48/200 (61.2s) - train_loss: 3.1134, val_loss: 3.0839, R@1_a2c: 0.074, R@5_a2c: 0.250, temp: 0.0712
2026-04-21 19:23:16,812 src.training.trainer INFO: Epoch 49/200 (60.6s) - train_loss: 3.1067, val_loss: 3.0940, R@1_a2c: 0.068, R@5_a2c: 0.270, temp: 0.0712
2026-04-21 19:24:21,510 src.training.trainer INFO: Epoch 50/200 (61.7s) - train_loss: 3.1159, val_loss: 3.0572, R@1_a2c: 0.074, R@5_a2c: 0.331, temp: 0.0713
2026-04-21 19:25:26,037 src.training.trainer INFO: Epoch 51/200 (61.4s) - train_loss: 3.1052, val_loss: 3.0920, R@1_a2c: 0.095, R@5_a2c: 0.297, temp: 0.0713
2026-04-21 19:26:31,176 src.training.trainer INFO: Epoch 52/200 (62.1s) - train_loss: 3.0932, val_loss: 3.0542, R@1_a2c: 0.068, R@5_a2c: 0.236, temp: 0.0713
2026-04-21 19:27:35,901 src.training.trainer INFO: Epoch 53/200 (61.7s) - train_loss: 3.0987, val_loss: 3.0391, R@1_a2c: 0.061, R@5_a2c: 0.243, temp: 0.0713
2026-04-21 19:28:43,824 src.training.trainer INFO: Epoch 54/200 (61.9s) - train_loss: 3.0822, val_loss: 2.9868, R@1_a2c: 0.061, R@5_a2c: 0.270, temp: 0.0713
2026-04-21 19:29:51,175 src.training.trainer INFO: Epoch 55/200 (60.9s) - train_loss: 3.0774, val_loss: 3.1336, R@1_a2c: 0.047, R@5_a2c: 0.209, temp: 0.0713
